id	insdc_biosample_identifiers	env_broad_scale_id	env_broad_scale_mongo_label	env_broad_scale_auth_label	env_local_scale_id	env_local_scale_mongo_label	env_local_scale_auth_label	env_medium_id	env_medium_mongo_label	env_medium_auth_label	env_package_has_raw_value	normalized_env_package	associated_studies	predicted_env_package
nmdc:bsm-11-002vgm56		ENVO:00000446	terrestrial biome	terrestrial biome	ENVO:01000861	area of dwarf scrub	area of dwarf scrub	ENVO:00001998	soil	soil	soil	soil	nmdc:sty-11-34xj1150	soil
nmdc:bsm-11-006pnx90		ENVO:01001442	agricultural biome	agriculture	ENVO:01001442	phyllosphere biome	agriculture	ENVO:01001001	plant-associated biome	plant-associated environment	plant-associated	plant-associated	nmdc:sty-11-e4yb9z58	plant-associated
nmdc:bsm-11-00dkyf35		ENVO:00000446	terrestrial biome	terrestrial biome	ENVO:01000843	area of evergreen forest	area of evergreen forest	ENVO:00001998	soil	soil	soil	soil	nmdc:sty-11-34xj1150	soil
nmdc:bsm-11-00hrxp98		ENVO:00000446	terrestrial biome	terrestrial biome	ENVO:01000855	area of mixed forest	area of mixed forest	ENVO:00001998	soil	soil			nmdc:sty-11-34xj1150	soil
nmdc:bsm-11-00m15h97		ENVO:00000446	terrestrial biome	terrestrial biome	ENVO:01000888	area of gramanoid or herbaceous vegetation	area of gramanoid or herbaceous vegetation	ENVO:00001998	soil	soil			nmdc:sty-11-34xj1150	soil
nmdc:bsm-11-00yhef97		ENVO:00000446	terrestrial biome	terrestrial biome	ENVO:01000892	area of cropland	area of cropland	ENVO:00001998	soil	soil			nmdc:sty-11-34xj1150	soil
nmdc:bsm-11-011z7z70		ENVO:00000446	terrestrial biome	terrestrial biome	ENVO:00005801	rhizosphere	rhizosphere	ENVO:00001998	soil	soil			nmdc:sty-11-r2h77870	soil
nmdc:bsm-11-0169zs66	biosample:SAMN10864929	ENVO:01001002	animal-associated environment	animal-associated environment	UBERON:0001555	digestive tract	digestive tract	ENVO:00002003	fecal material	fecal material			nmdc:sty-11-t91cwb40	host-associated
nmdc:bsm-11-01bbrr08		ENVO:00000446		terrestrial biome	ENVO:01000219		anthropogenic terrestrial biome	ENVO:00001998	soil	soil			nmdc:sty-11-db67n062	soil
nmdc:bsm-11-01f6m423		ENVO:00000446	terrestrial biome	terrestrial biome	ENVO:01000816	area of deciduous forest	area of deciduous forest	ENVO:00001998	soil	soil			nmdc:sty-11-34xj1150	soil
